	organism	tem_range
2600	Corynebacterium kutscheri (Migula 1900) Bergey et al. 1925	mesophilic
2601	Corynebacterium kutscheri (Migula 1900) Bergey et al. 1925	mesophilic
2602	Corynebacterium kutscheri (Migula 1900) Bergey et al. 1925	mesophilic
2603	Corynebacterium matruchotii (Mendel 1919) Collins 1983	mesophilic
2604	Corynebacterium minutissimum (ex Sarkany et al. 1962) Collins and Jones 1983 emend. Yassin et al. 2002	mesophilic
2605	Corynebacterium minutissimum (ex Sarkany et al. 1962) Collins and Jones 1983 emend. Yassin et al. 2002	mesophilic
2606	Corynebacterium minutissimum (ex Sarkany et al. 1962) Collins and Jones 1983 emend. Yassin et al. 2002	mesophilic
2607	Corynebacterium mycetoides (ex Castellani 1942) Collins 1983	mesophilic
2608	Corynebacterium mycetoides (ex Castellani 1942) Collins 1983	mesophilic
2609	Corynebacterium pilosum Yanagawa and Honda 1978	mesophilic
2610	Corynebacterium pseudotuberculosis (Buchanan 1911) Eberson 1918	mesophilic
2611	Corynebacterium pseudotuberculosis (Buchanan 1911) Eberson 1918	mesophilic
2612	Corynebacterium pseudotuberculosis (Buchanan 1911) Eberson 1918	mesophilic
2613	Corynebacterium pseudotuberculosis (Buchanan 1911) Eberson 1918	mesophilic
2614	Corynebacterium pseudotuberculosis (Buchanan 1911) Eberson 1918	mesophilic
2615	Corynebacterium renale (Migula 1900) Ernst 1906	mesophilic
2616	Corynebacterium renale (Migula 1900) Ernst 1906	mesophilic
2617	Corynebacterium renale (Migula 1900) Ernst 1906	mesophilic
2618	Corynebacterium renale (Migula 1900) Ernst 1906	mesophilic
2619	Corynebacterium sp.	mesophilic
2620	Corynebacterium sp.	mesophilic
2621	Corynebacterium sp.	mesophilic
2622	Corynebacterium striatum (Chester 1901) Eberson 1918	mesophilic
2623	Corynebacterium striatum (Chester 1901) Eberson 1918	mesophilic
2624	Corynebacterium striatum (Chester 1901) Eberson 1918	mesophilic
2625	Corynebacterium variabile (M&uuml;ller 1961) Collins 1987	mesophilic
2626	Corynebacterium variabile (M&uuml;ller 1961) Collins 1987	mesophilic
2627	Corynebacterium variabile (M&uuml;ller 1961) Collins 1987	mesophilic
2628	Corynebacterium variabile (M&uuml;ller 1961) Collins 1987	mesophilic
2629	Corynebacterium vitaeruminis (Bechdel et al. 1928) Lan&eacute;elle et al. 1980	mesophilic
2630	Corynebacterium xerosis (Lehmann and Neumann 1896) Lehmann and Neumann 1899	mesophilic
2631	Corynebacterium xerosis (Lehmann and Neumann 1896) Lehmann and Neumann 1899	mesophilic
2632	Corynebacterium xerosis (Lehmann and Neumann 1896) Lehmann and Neumann 1899	mesophilic
2633	Corynebacterium xerosis (Lehmann and Neumann 1896) Lehmann and Neumann 1899	mesophilic
2634	Corynebacterium xerosis (Lehmann and Neumann 1896) Lehmann and Neumann 1899	mesophilic
2635	Corynebacterium amycolatum Collins et al. 1988	mesophilic
2636	Corynebacterium amycolatum Collins et al. 1988	mesophilic
2637	Corynebacterium amycolatum Collins et al. 1988	mesophilic
2638	Corynebacterium amycolatum Collins et al. 1988	mesophilic
2639	Corynebacterium amycolatum Collins et al. 1988	mesophilic
2640	Corynebacterium amycolatum Collins et al. 1988	mesophilic
2641	Corynebacterium jeikeium Jackman et al. 1988	mesophilic
2642	Corynebacterium jeikeium Jackman et al. 1988	mesophilic
2643	Corynebacterium jeikeium Jackman et al. 1988	mesophilic
2644	Corynebacterium pseudodiphtheriticum Lehmann and Neumann 1896	mesophilic
2645	Corynebacterium pseudodiphtheriticum Lehmann and Neumann 1896	mesophilic
2646	Corynebacterium pseudodiphtheriticum Lehmann and Neumann 1896	mesophilic
2647	Corynebacterium pseudodiphtheriticum Lehmann and Neumann 1896	mesophilic
2648	Corynebacterium ulcerans (ex Gilbert and Stewart 1927) Riegel et al. 1995	mesophilic
2649	Corynebacterium urealyticum Pitcher et al. 1992	mesophilic
2650	Corynebacterium urealyticum Pitcher et al. 1992	mesophilic
2651	Corynebacterium urealyticum Pitcher et al. 1992	mesophilic
2652	Corynebacterium diphtheriae (Kruse 1886) Lehmann and Neumann 1896	mesophilic
2653	Corynebacterium diphtheriae (Kruse 1886) Lehmann and Neumann 1896	mesophilic
2654	Corynebacterium diphtheriae (Kruse 1886) Lehmann and Neumann 1896	mesophilic
2655	Corynebacterium diphtheriae (Kruse 1886) Lehmann and Neumann 1896	mesophilic
2656	Corynebacterium glucuronolyticum Funke et al. 1995	mesophilic
2657	Corynebacterium glucuronolyticum Funke et al. 1995	mesophilic
2658	Corynebacterium glucuronolyticum Funke et al. 1995	mesophilic
2659	Corynebacterium auris Funke et al. 1995	mesophilic
2660	Corynebacterium coyleae Funke et al. 1997	mesophilic
2661	Corynebacterium coyleae Funke et al. 1997	mesophilic
2662	Corynebacterium argentoratense Riegel et al. 1995	mesophilic
2663	Corynebacterium imitans Funke et al. 1997	mesophilic
2664	Corynebacterium mucifaciens Funke et al. 1997	mesophilic
2665	Corynebacterium thomssenii Zimmermann et al. 1998	mesophilic
2666	Corynebacterium accolens Neubauer et al. 1991	mesophilic
2667	Corynebacterium accolens Neubauer et al. 1991	mesophilic
2668	Corynebacterium afermentans  subsp. afermentans Riegel et al. 1993	mesophilic
2669	Corynebacterium afermentans  subsp. afermentans Riegel et al. 1993	mesophilic
2670	Corynebacterium afermentans  subsp. lipophilum Riegel et al. 1993	mesophilic
2671	Corynebacterium afermentans  subsp. lipophilum Riegel et al. 1993	mesophilic
2672	Corynebacterium macginleyi Riegel et al. 1995	mesophilic
2673	Corynebacterium propinquum Riegel et al. 1994 emend. Bernard et al. 2013	mesophilic
2674	Corynebacterium propinquum Riegel et al. 1994 emend. Bernard et al. 2013	mesophilic
2675	Corynebacterium lipophiloflavum Funke et al. 1997	mesophilic
2676	Corynebacterium riegelii Funke et al. 1998	mesophilic
2677	Corynebacterium mastitidis Fernandez-Garayzabal et al. 1997	mesophilic
2678	Corynebacterium mastitidis Fernandez-Garayzabal et al. 1997	mesophilic
2679	Corynebacterium mastitidis Fernandez-Garayzabal et al. 1997	mesophilic
2680	Corynebacterium falsenii Sj&ouml;d&eacute;n et al. 1998	mesophilic
2681	Corynebacterium falsenii Sj&ouml;d&eacute;n et al. 1998	mesophilic
2682	Corynebacterium durum Riegel et al. 1997	mesophilic
2683	Corynebacterium singulare Riegel et al. 1997	mesophilic
2684	Corynebacterium confusum Funke et al. 1998	mesophilic
2685	Corynebacterium kroppenstedtii Collins et al. 1998	mesophilic
2686	Corynebacterium kroppenstedtii Collins et al. 1998	mesophilic
2687	Corynebacterium kroppenstedtii Collins et al. 1998	mesophilic
2688	Corynebacterium simulans Wattiau et al. 2000	mesophilic
2689	Corynebacterium simulans Wattiau et al. 2000	mesophilic
2690	Corynebacterium simulans Wattiau et al. 2000	mesophilic
2691	Corynebacterium freneyi Renaud et al. 2001	mesophilic
2692	Corynebacterium freneyi Renaud et al. 2001	mesophilic
2693	Corynebacterium felinum Collins et al. 2001	mesophilic
2694	Corynebacterium efficiens Fudou et al. 2002	mesophilic
2695	Corynebacterium efficiens Fudou et al. 2002	mesophilic
2696	Corynebacterium efficiens Fudou et al. 2002	mesophilic
2697	Corynebacterium glaucum Yassin et al. 2003	mesophilic
2698	Corynebacterium glaucum Yassin et al. 2003	mesophilic
2699	Corynebacterium appendicis Yassin et al. 2002	mesophilic
2700	Corynebacterium aurimucosum Yassin et al. 2002 emend. Daneshvar et al. 2004	mesophilic
2701	Corynebacterium aurimucosum Yassin et al. 2002 emend. Daneshvar et al. 2004	mesophilic
2702	Corynebacterium camporealensis Fern&aacute;ndez-Garayz&aacute;bal et al. 1998	mesophilic
2703	Corynebacterium capitovis Collins et al. 2001	mesophilic
2704	Corynebacterium phocae Pascual et al. 1998	mesophilic
2705	Corynebacterium sundsvallense Collins et al. 1999	mesophilic
2706	Corynebacterium testudinoris Collins et al. 2001	mesophilic
2707	Corynebacterium casei Brennan et al. 2001	mesophilic
2708	Corynebacterium terpenotabidum Takeuchi et al. 1999	mesophilic
2709	Corynebacterium halotolerans Chen et al. 2004	mesophilic
2710	Corynebacterium spheniscorum Goyache et al. 2003	mesophilic
2711	Corynebacterium aquilae Fern&aacute;ndez-Garayz&aacute;bal et al. 2003	mesophilic
2712	Corynebacterium sphenisci Goyache et al. 2003	mesophilic
2713	Corynebacterium atypicum Hall et al. 2003	mesophilic
2714	Corynebacterium caspium Collins et al. 2004	mesophilic
2715	Corynebacterium suicordis Vela et al. 2003	mesophilic
2716	Corynebacterium ciconiae Fern&aacute;ndez-Garayz&aacute;bal et al. 2004	mesophilic
2717	Corynebacterium tuberculostearicum Feurer et al. 2004	mesophilic
2718	Corynebacterium tuberculostearicum Feurer et al. 2004	mesophilic
2719	Corynebacterium tuberculostearicum Feurer et al. 2004	mesophilic
2720	Corynebacterium tuberculostearicum Feurer et al. 2004	mesophilic
2721	Corynebacterium tuberculostearicum Feurer et al. 2004	mesophilic
2722	Corynebacterium tuberculostearicum Feurer et al. 2004	mesophilic
2723	Corynebacterium marinum Du et al. 2010	mesophilic
2724	Corynebacterium ureicelerivorans Yassin 2007	mesophilic
2725	Corynebacterium tuscaniense Riegel et al. 2006	mesophilic
2726	Corynebacterium resistens Otsuka et al. 2005	mesophilic
2727	Corynebacterium hansenii Renaud et al. 2007	mesophilic
2728	Corynebacterium sputi Yassin and Siering 2008	mesophilic
2729	Corynebacterium ulceribovis Yassin 2009	mesophilic
2730	Corynebacterium lubricantis K&auml;mpfer et al. 2009	mesophilic
2731	Corynebacterium freiburgense Funke et al. 2009	mesophilic
2732	Corynebacterium massiliense Merhej et al. 2009	mesophilic
2733	Corynebacterium timonense Merhej et al. 2009	mesophilic
2734	Corynebacterium maris Ben-Dov et al. 2009	mesophilic
2735	Corynebacterium doosanense Lee et al. 2009	mesophilic
2736	Corynebacterium mustelae Funke et al. 2010	mesophilic
2737	Corynebacterium pyruviciproducens Tong et  al. 2010	mesophilic
2738	Corynebacterium pilbarense Aravena-Roman et al. 2010	mesophilic
2739	Corynebacterium canis Funke et al. 2010	mesophilic
2740	Corynebacterium humireducens Wu et al. 2011	mesophilic
2741	Corynebacterium deserti Zhou et al. 2012	mesophilic
2742	Corynebacterium epidermidicanis Frischmann et al. 2012	mesophilic
2743	Corynebacterium aquatimens Aravena-Rom&aacute;n et al. 2012	mesophilic
2744	Turicella otitidis Funke et al. 1994	mesophilic
2745	Aquicella lusitana Santos et al. 2004	mesophilic
2746	Aquicella siphonis Santos et al. 2004	mesophilic
2747	Diplorickettsia massiliensis Mediannikov et al. 2011	mesophilic
2748	Fluviicola taffensis O'Sullivan et al. 2005	mesophilic
2749	Owenweeksia hongkongensis Lau et al. 2005 emend. Zhou et al. 2013	mesophilic
2750	Archangium gephyra Jahn 1924	mesophilic
2751	Archangium gephyra Jahn 1924	mesophilic
2752	Archangium gephyra Jahn 1924	mesophilic
2753	Archangium gephyra Jahn 1924	mesophilic
2754	Archangium gephyra Jahn 1924	mesophilic
2755	Archangium gephyra Jahn 1924	mesophilic
2756	Archangium gephyra Jahn 1924	mesophilic
2757	Archangium gephyra Jahn 1924	mesophilic
2758	Archangium gephyra Jahn 1924	mesophilic
2759	Archangium gephyra Jahn 1924	mesophilic
2760	Archangium gephyra Jahn 1924	mesophilic
2761	Archangium gephyra Jahn 1924	mesophilic
2762	Archangium gephyra Jahn 1924	mesophilic
2763	Archangium gephyra Jahn 1924	mesophilic
2764	Archangium gephyra Jahn 1924	mesophilic
2765	Archangium gephyra Jahn 1924	mesophilic
2766	Archangium gephyra Jahn 1924	mesophilic
2767	Archangium gephyra Jahn 1924	mesophilic
2768	Archangium gephyra Jahn 1924	mesophilic
2769	Archangium gephyra Jahn 1924	mesophilic
2770	Archangium gephyra Jahn 1924	mesophilic
2771	Cystobacter fuscus Schroeter 1886	mesophilic
2772	Cystobacter fuscus Schroeter 1886	mesophilic
2773	Cystobacter fuscus Schroeter 1886	mesophilic
2774	Cystobacter fuscus Schroeter 1886	mesophilic
2775	Cystobacter fuscus Schroeter 1886	mesophilic
2776	Cystobacter fuscus Schroeter 1886	mesophilic
2777	Cystobacter fuscus Schroeter 1886	mesophilic
2778	Cystobacter fuscus Schroeter 1886	mesophilic
2779	Cystobacter fuscus Schroeter 1886	mesophilic
2780	Cystobacter fuscus Schroeter 1886	mesophilic
2781	Cystobacter fuscus Schroeter 1886	mesophilic
2782	Cystobacter fuscus Schroeter 1886	mesophilic
2783	Cystobacter fuscus Schroeter 1886	mesophilic
2784	Cystobacter fuscus Schroeter 1886	mesophilic
2785	Cystobacter fuscus Schroeter 1886	mesophilic
2786	Cystobacter fuscus Schroeter 1886	mesophilic
2787	Cystobacter fuscus Schroeter 1886	mesophilic
2788	Cystobacter fuscus Schroeter 1886	mesophilic
2789	Cystobacter fuscus Schroeter 1886	mesophilic
2790	Cystobacter fuscus Schroeter 1886	mesophilic
2791	Cystobacter fuscus Schroeter 1886	mesophilic
2792	Cystobacter fuscus Schroeter 1886	mesophilic
2793	Cystobacter fuscus Schroeter 1886	mesophilic
2794	Cystobacter fuscus Schroeter 1886	mesophilic
2795	Cystobacter fuscus Schroeter 1886	mesophilic
2796	Cystobacter fuscus Schroeter 1886	mesophilic
2797	Cystobacter fuscus Schroeter 1886	mesophilic
2798	Cystobacter fuscus Schroeter 1886	mesophilic
2799	Cystobacter armeniaca Reichenbach 2007	mesophilic
2800	Cystobacter armeniaca Reichenbach 2007	mesophilic
2801	Cystobacter armeniaca Reichenbach 2007	mesophilic
2802	Cystobacter armeniaca Reichenbach 2007	mesophilic
2803	Cystobacter armeniaca Reichenbach 2007	mesophilic
2804	Cystobacter armeniaca Reichenbach 2007	mesophilic
2805	Cystobacter armeniaca Reichenbach 2007	mesophilic
2806	Cystobacter armeniaca Reichenbach 2007	mesophilic
2807	Cystobacter armeniaca Reichenbach 2007	mesophilic
2808	Cystobacter armeniaca Reichenbach 2007	mesophilic
2809	Cystobacter armeniaca Reichenbach 2007	mesophilic
2810	Cystobacter armeniaca Reichenbach 2007	mesophilic
2811	Cystobacter armeniaca Reichenbach 2007	mesophilic
2812	Cystobacter armeniaca Reichenbach 2007	mesophilic
2813	Cystobacter armeniaca Reichenbach 2007	mesophilic
2814	Cystobacter armeniaca Reichenbach 2007	mesophilic
2815	Cystobacter armeniaca Reichenbach 2007	mesophilic
2816	Cystobacter armeniaca Reichenbach 2007	mesophilic
2817	Cystobacter armeniaca Reichenbach 2007	mesophilic
2818	Cystobacter armeniaca Reichenbach 2007	mesophilic
2819	Cystobacter miniatus Reichenbach 2007	mesophilic
2820	Cystobacter miniatus Reichenbach 2007	mesophilic
2821	Cystobacter badius Reichenbach 2007	mesophilic
2822	Cystobacter badius Reichenbach 2007	mesophilic
2823	Cystobacter badius Reichenbach 2007	mesophilic
2824	Cystobacter badius Reichenbach 2007	mesophilic
2825	Cystobacter badius Reichenbach 2007	mesophilic
2826	Cystobacter badius Reichenbach 2007	mesophilic
2827	Cystobacter badius Reichenbach 2007	mesophilic
2828	Cystobacter badius Reichenbach 2007	mesophilic
2829	Cystobacter badius Reichenbach 2007	mesophilic
2830	Cystobacter badius Reichenbach 2007	mesophilic
2831	Cystobacter badius Reichenbach 2007	mesophilic
2832	Cystobacter badius Reichenbach 2007	mesophilic
2833	Cystobacter badius Reichenbach 2007	mesophilic
2834	Cystobacter badius Reichenbach 2007	mesophilic
2835	Cystobacter badius Reichenbach 2007	mesophilic
2836	Cystobacter badius Reichenbach 2007	mesophilic
2837	Cystobacter badius Reichenbach 2007	mesophilic
2838	Cystobacter ferrugineus (Krzemieniewska and Krzemieniewski 1927) McCurdy 1970	mesophilic
2839	Cystobacter ferrugineus (Krzemieniewska and Krzemieniewski 1927) McCurdy 1970	mesophilic
2840	Cystobacter ferrugineus (Krzemieniewska and Krzemieniewski 1927) McCurdy 1970	mesophilic
2841	Cystobacter ferrugineus (Krzemieniewska and Krzemieniewski 1927) McCurdy 1970	mesophilic
2842	Cystobacter ferrugineus (Krzemieniewska and Krzemieniewski 1927) McCurdy 1970	mesophilic
2843	Cystobacter ferrugineus (Krzemieniewska and Krzemieniewski 1927) McCurdy 1970	mesophilic
2844	Cystobacter ferrugineus (Krzemieniewska and Krzemieniewski 1927) McCurdy 1970	mesophilic
2845	Cystobacter ferrugineus (Krzemieniewska and Krzemieniewski 1927) McCurdy 1970	mesophilic
2846	Cystobacter ferrugineus (Krzemieniewska and Krzemieniewski 1927) McCurdy 1970	mesophilic
2847	Cystobacter ferrugineus (Krzemieniewska and Krzemieniewski 1927) McCurdy 1970	mesophilic
2848	Cystobacter ferrugineus (Krzemieniewska and Krzemieniewski 1927) McCurdy 1970	mesophilic
2849	Cystobacter ferrugineus (Krzemieniewska and Krzemieniewski 1927) McCurdy 1970	mesophilic
2850	Cystobacter ferrugineus (Krzemieniewska and Krzemieniewski 1927) McCurdy 1970	mesophilic
2851	Cystobacter ferrugineus (Krzemieniewska and Krzemieniewski 1927) McCurdy 1970	mesophilic
2852	Cystobacter ferrugineus (Krzemieniewska and Krzemieniewski 1927) McCurdy 1970	mesophilic
2853	Cystobacter ferrugineus (Krzemieniewska and Krzemieniewski 1927) McCurdy 1970	mesophilic
2854	Cystobacter ferrugineus (Krzemieniewska and Krzemieniewski 1927) McCurdy 1970	mesophilic
2855	Cystobacter ferrugineus (Krzemieniewska and Krzemieniewski 1927) McCurdy 1970	mesophilic
2856	Cystobacter ferrugineus (Krzemieniewska and Krzemieniewski 1927) McCurdy 1970	mesophilic
2857	Cystobacter ferrugineus (Krzemieniewska and Krzemieniewski 1927) McCurdy 1970	mesophilic
2858	Cystobacter ferrugineus (Krzemieniewska and Krzemieniewski 1927) McCurdy 1970	mesophilic
2859	Cystobacter ferrugineus (Krzemieniewska and Krzemieniewski 1927) McCurdy 1970	mesophilic
2860	Cystobacter ferrugineus (Krzemieniewska and Krzemieniewski 1927) McCurdy 1970	mesophilic
2861	Cystobacter ferrugineus (Krzemieniewska and Krzemieniewski 1927) McCurdy 1970	mesophilic
2862	Cystobacter ferrugineus (Krzemieniewska and Krzemieniewski 1927) McCurdy 1970	mesophilic
2863	Cystobacter ferrugineus (Krzemieniewska and Krzemieniewski 1927) McCurdy 1970	mesophilic
2864	Cystobacter ferrugineus (Krzemieniewska and Krzemieniewski 1927) McCurdy 1970	mesophilic
2865	Cystobacter ferrugineus (Krzemieniewska and Krzemieniewski 1927) McCurdy 1970	mesophilic
2866	Cystobacter ferrugineus (Krzemieniewska and Krzemieniewski 1927) McCurdy 1970	mesophilic
2867	Cystobacter ferrugineus (Krzemieniewska and Krzemieniewski 1927) McCurdy 1970	mesophilic
2868	Cystobacter ferrugineus (Krzemieniewska and Krzemieniewski 1927) McCurdy 1970	mesophilic
2869	Cystobacter ferrugineus (Krzemieniewska and Krzemieniewski 1927) McCurdy 1970	mesophilic
2870	Cystobacter ferrugineus (Krzemieniewska and Krzemieniewski 1927) McCurdy 1970	mesophilic
2871	Cystobacter velatus Reichenbach 2007	mesophilic
2872	Cystobacter velatus Reichenbach 2007	mesophilic
2873	Cystobacter velatus Reichenbach 2007	mesophilic
2874	Cystobacter velatus Reichenbach 2007	mesophilic
2875	Cystobacter velatus Reichenbach 2007	mesophilic
2876	Cystobacter velatus Reichenbach 2007	mesophilic
2877	Cystobacter velatus Reichenbach 2007	mesophilic
2878	Cystobacter velatus Reichenbach 2007	mesophilic
2879	Cystobacter velatus Reichenbach 2007	mesophilic
2880	Cystobacter velatus Reichenbach 2007	mesophilic
2881	Cystobacter velatus Reichenbach 2007	mesophilic
2882	Cystobacter velatus Reichenbach 2007	mesophilic
2883	Cystobacter velatus Reichenbach 2007	mesophilic
2884	Cystobacter velatus Reichenbach 2007	mesophilic
2885	Cystobacter velatus Reichenbach 2007	mesophilic
2886	Cystobacter velatus Reichenbach 2007	mesophilic
2887	Cystobacter velatus Reichenbach 2007	mesophilic
2888	Cystobacter velatus Reichenbach 2007	mesophilic
2889	Cystobacter velatus Reichenbach 2007	mesophilic
2890	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2891	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2892	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2893	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2894	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2895	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2896	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2897	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2898	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2899	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2900	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2901	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2902	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2903	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2904	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2905	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2906	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2907	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2908	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2909	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2910	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2911	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2912	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2913	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2914	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2915	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2916	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2917	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2918	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2919	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2920	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2921	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2922	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2923	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2924	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2925	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2926	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2927	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2928	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2929	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2930	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2931	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2932	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2933	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2934	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2935	Archangium gephyra Jahn 1924 emend. Lang et al. 2015	mesophilic
2936	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2937	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2938	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2939	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2940	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2941	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2942	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2943	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2944	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2945	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
